Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
sïerredidh	diskriminere, utsette noen for diskriminering	diskriminera, utsätta ngn för diskriminering		Dah sïerredimmiem jïh daarjesjimmiem dååjrehtamme.	De har blitt utsatt for diskriminering og overgrep.	verb	sïerredidh, sïerrede, sïerredi, sïerredamme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Fra pest og krise til bedre tider	side 86
juhteme laanten sïjse	innvandring	invandring		Juhteme laanten sïjse noerhtelistie, luvlielistie jïh åarjielistie.	Innvandring fra nord, øst og sør.	frase		Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Fra pest og krise til bedre tider	side 172
sïerredimmie	diskriminering	diskriminering		Sïerredimmie gaajhkene lehkesne.	Det finnes diskriminering overalt.	substantiv av sïerredidh	sïerredimmie, sïerredæmman	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Samf 6		Bestemme sammen	side 165
roeste-gåetien åelesne	varetektsfengsel	vara häktad		Bielelen aamhtese reaktesne orreme, ij guhte maehtieh roeste-gåetien åalesne sjïdtedh.	Ingen kan holdes i varetektsfengsel uten at saken har vært oppe i retten.	frase		Elgå ref. gruppe	Til godkjenning		Samf 6 		Bestemme sammen	side 178
ellies-fuelhkie	kjernefamilie	kärnfamilj 		Jienebelåhkoe Nöörjen maanijste ellies-fuelhkesne jielieh.	I Norge lever de fleste barn i en kjernefamilie.	sammensatt substantiv av ellies + fuelhkie	ellies-fuelhkie, ellies-fualhkan	Elgå ref. gruppe	Til godkjenning		Samf 6		Bare jeg er jeg	side 94
gaengkerdidh	å slå hjul	hjula		Manne provhkim gaengkerdidh.	Jeg pleide å slå hjul.	verb av gaengkere	gaengkerdidh, gaengkerde, gaengkerdi gaengkerdamme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Samf 7		På flukt	side 94
sturreme	kaos	kaos		Gaatojne lij sturreme.	Det var kaos i gatene.	substantiv av sturredh	sturreme, sturremasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Samf 7		På flukt	side 95
smalhtjaridh	bli bombet	bli bombad		Aehtjie jeehti dïhte lij smalhtjaramme bombijste.	Pappa sa at det var bombet i stykker.	verb	smalhtjaridh, smalhtjere, smalhtjari, smalhtjaramme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Samf 7		På flukt	
bombe 	bombe	bomb 		Stoerre dajvh Europeste lin bombijste smalhtjaramme.	Store deler av Europa var ødelagt av bomber.	substantiv	bombe, bombese	Elgå ref. gruppe	Til godkjenning	Til godkjenning				side 94
sïerredihks	diskriminerende	diskriminerande		Plaerieh jïh gaskeviermie eah edtjh maam akt faelskies jallh sïerredihks mubpiej bïjre tjaeledh jallh naakenem dïebledh.	Aviser eller Internett skal ikke skrive noe usant, diskriminerende eller ærekrenkende om noen.	adjektiv av sïerredidh	sïerredihks	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Samf 7		På flukt	side 101
baataræjja-jerkie	flyktningleir	flyktingläger		Baataræjjaj viehkie baataræjja-jerkine gïehtele jïh beapmoeh jïh neavroe-vïehkiem vadta goerhpedihkie dajvide. 	Flyktninghjelpen driver flyktningleirer, deler ut mat og gir nødhjelp i områder som er rammet.	sammensatt substantiv av baataræjja + jerkie	baataræjja-jerkie, baataræjja-jarkan	Elgå ref. gruppe	Til godkjenning		Samf 7		På flukt	side 102
tjirkedidh	forplikte seg	förplikta sig		Nöörje lea tjirkedamme aktem vihties låhkoem sirtems-baataræjjijste dåastodh fïerhten jaepien.	Norge har forpliktet seg til å ta imot et bestemt antall overføringsflyktninger hvert år.	verb av tjirkedh		Elgå ref. gruppe	Til godkjenning		Samf 7		På flukt	side 131
jïenge-straenjie	skuringsstripe	skrubbningsrand		Muvhten aejkien maehtebe jïenge-straenjieh vaeresne vuejnedh.	Av og til kan vi se skuringsstriper i fjellet.	sammensatt substantiv av jïenge + straenjie	jïenge-straenjie, jïenge-straanjan	Elgå ref. gruppe	Til godkjenning		Geografi 5		Levende landskap	side 140
gernie-maasjine	tresker	tröskare				sammensatt substantiv av gernie + maasjine	gernie-maasjine, gernie-maasjinese	Elgå ref. gruppe	Til godkjenning		Geografi 5		Levende landskap	side 42
olijven-såafa	olivenlund	olivlund				sammensatt substantiv av olijven + såafa	olijven-såafa, olijven-såafese	Elgå ref. gruppe	Til godkjenning		Geografi 6		Vår verdelsdel	side 121
gïerme-svïrrege 	øgle og firfisle	ödla	guevtie-svïrrege, svirrieh-njåhkoe, svirrieh-njahka	Dah smaave dyjrh goh gïerme-svïrregh vijrieh.	De jakter på smådyr som øgler og firfisler. 	substantiv	gïerme-svïrrege, gïerme-svïrregasse	Elgå ref. gruppe	Til godkjenning		Geografi 7		Landskap og levemåter	
onne siebriedahke	miniatyr	miniatyr		Titanice akte onne siebriedahke.	Titanic et samfunn i miniatyr.	frase		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 4	
vöökes	luksuriøs	lyxig		Titanice lij vöökemes skïhpeste.	Titanic var det mest luksuriøse skipet.	adveb		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 4	
saavreme-tjïehtjelhe	trimrom	träningslokal				sammensatt substantiv av saavreme av saavredh + tjïehtjele	saavreme-tjïehtjele, saavreme-tjïehtjielasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 4	
gærja-gåetie	bibliotek	bibliotek	biblioteke			substantiv	gærja-gåetie, gærja-gåatan	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 4	
hahtjoe	lugar	hytt				substantiv	hahtjoe, hahtjose	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 4	
vïnhtsesne årrodh	være om bord	vara om bord		Medtie 2200 almetjh lin vïnhtsesne. 	Det var om lag 2200 mennesker om bord.	frase		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 5	
industrije-barkije	industriarbeider	industriarbetare				sammensatt substantiv av industrije + barkije	industrije-barkije, industrije-barkijasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 5	
klahkh	tjenestefolk	tjänstefolk				substantiv	klahkh, klahkide	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 5	
laanteburrie-barkije	landarbeidere	lantarbetare				sammensatt substantiv av laante + burrie + barkije	laanteburrie-barkije, laanteburrie-barkijasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 5	
dåarjege giefies almetjidie	fattighjelp	fattighjälp				frase		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 5	
siebriedahke-daltese	samfunnsklasse	samhällsklass				sammensatt substantiv av siebriedahke + daltese	siebriedahke-daltese, siebriedahke-daltesasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 5	
vuesiehtidh	gjenspeile	återspegla		Dïhte daltese-joekehtse Titanicisnie vuesiehti.	Klasseinndelningen på Titanic gjenspeilte samfunnet.	verb	vuesiehtidh, vuesehte, vuesehti, vuesiehtamme	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 5	
barkijh	mannskap	manskap				substantiv	barkijh, barkijidie	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 5	
joptsestihkie	oppdiktet	uppdiktad		Joptsestihkie gïeresvoeten-soptsese.	En oppdiktet kjærlighetshistorie.	adverb av joptsestehedh		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 6	
gïeriesvoeten-soptsese	kjærlighetshistorie	kärlekshistoria		Joptsestihkie gïeresvoeten-soptsese.	En oppdiktet kjærlighetshistorie.	sammensatt substantiv av gïeries-voete + soptsese	gïeriesvoeten-soptsese, gåieriesvoeten-soptsesasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 6	
viedtje-gaptjese	tapet	tapet				sammensatt substantiv av vïedtje + gaptjese	vïedtje-gaptjese, vïedtje-gaptjesasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 7	
valvijahtjedh	slå seg ned i et annet land	slå sig ned i ett annat land.		Dah maadtoe-laanteste juhtiejin edtjin jeatjah laantese valvijahtjedh.	De flyttet fra hjemlandet for å slå seg ned i et annet land.	verb	valvijahtjedh, valvijahtja, valvijahtji, valvijahtjeme	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 7	
beapmoe-savka	spisesal	matsal				sammensatt substantiv av beapmoe + savka	beapmoe-savka, beapmoe-savkese	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 7	
teknologiske	teknologisk	teknologisk		Teknologiske åvtanimmie.	Teknologiske framskritt.	adverb  		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
elmie-skïhpe	luftskip	luftskepp				sammensatt substantiv av elmie + skïhpe	elmie-skïhpe, elmie-skïhpese	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
röntgen-abparate	røntgenapparat	röntgenapparat				sammensatt  substantiv av röntgen + abparate	röntgen-abparate, röntgen-abparatese	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
svïhtjh-guvvieh	levende bilder, film	rörliga bilder				sammensatt substantiv av svïhtjh av svïhtjedh + guvvie	svïhtjh-guvvieh, svïhtjh-guvvide	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
vaeptie-ålma	utkikksmann	utkiksman				sammensatt substantiv av vaeptie + ålma	vaeptie-ålma, vaeptie-ålmese	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
skïhpen-daektie	skrog	skrov				sammensatt substantiv av skïhpen + daektie	skïhpen-daektie, skïhpen daaktan	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
garkedh	strømme inn	strömma in		Skïhpen-daektie raajkanadti jïh tjaetsie sijse garki.	Det gikk hull på skroget flere steder og vannet strømmet inn.	verb	garkedh, garka, garki, garkeme	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
væhna-soptsese	førstehåndsberetning	förstahandsberättelse				sammensat substantiv av væhna + soptsese	væhna-soptsese, væhna-soptsesasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
bïjjene årrodh	komme på bena	komma på benen		Dovne almetjh lin bijjene.	Alt folk var kommet på benene	frase		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 8	
steereme-staagkoe	rekke	reling	steereme-staagka			sammensatt substantiv av steereme av steeredh + staagkoe	steereme-staagkoe, steereme-staagkose	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 9	
våajoelidh	gå under	gå under		Titanice våajoeli.	Titanic gikk under.	verb	våajoelidh, våajole, våajoeli, våajoelamme	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 9	
åabpeme-vïnhtse	livbåt	livbåt				sammensatt substantiv av åabpeme av åabpedh + vïnhtse	åabpeme-vïnhtse, åabpeme-vïnhtsese	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 9	
goerehtimmie-kommisjovne	undersøkelseskommisjon	undersökningskommission				sammensatt substantiv av goerehtimmie-kommisjovne	goerehtimmie-kommisjovne, goerehtimmie-kommisjovnese	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 9	
tjammadimmie	forlis	förlisning				substantiv av tjammadidh	tjammadimmie, tjammadæmman	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 9	
stovhpeme-tjognh	dykkerutstyr	dykarutrustning				sammensatt substantiv av stovhpeme + tjognh	stovhpeme-tjognh, stovhpeme-tjognide	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 9	
dotkije-dåehkie	forskerteam	forskarteam				sammensatt substantiv av dotkije + dåehkie	dotkije-dåehkie, dotkije-dåahkan	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 9	
jarkelidh	snu opp ned	vända upp och ner	jarkelehtedh, jarkeldehtedh	Akte dåaroe mij edtji millijovnh almetji jieledh jarkelidh.	En krig som skulle snu opp ned på livet for millioner av mennesker.	verb	jarkelidh, jarkele, jarkeli, jarkelamme	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 10	
dåajvoe båetije beajjan	framtidsoptimisme	framtidsoptimism		Dåajvoe båetije beajjan orriji.	Framtidsoptimismen tok slutt.	frase		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 10	
voestesklaassen-feelijh	førsteklassepassasjerer	förstaklassresenärer				sammensatt substantiv av voestes + klaassen + feelije	voestesklaassen-feelije, voestesklaassen-feelijasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 10	
viehkie-rakete	nødrakett	nödraket				sammensatt substantiv av viehkie + rakete	viehkie-rakete, viehkie-raketese	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 10	
viehkie-prierkie	nødsignal	nödsignal				sammensatt substantiv av viehkie + prierkie	viehkie-prierkie, viehkie-prearkan	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 10	
radiove-baaroeh	radiobølger	radiovågor	radiove-baarah			sammensatt substantiv av radiove + baaroeh	radiove-baaroeh, radiove-baarojde	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 10	
kabele-namhtah	trådløs	trådlös		Kabele-namhtah telegrafe.	Den trådløse telegrafen.	adverb		Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 10	
morse-alfabete	morsealfabetet	morsealfabetet				sammensatt substantiv av morse + alfabete	morse-alfabete, morse-alfabetese	Elgå ref. gruppe	Til godkjenning		Historie 9	Titanic et samfunn i miniatyr	Side 10	
haaljoeh	heltemot	hjältemod				substantiv	haaljoeh, haaljojde	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 16	
saejrienidh	bli såret	bli sårad		Göökte-luhkie miljovnh saejrienin.	Tjue millioner ble såret.	verb av saejrie	saejrienidh, saejrene, saejreni, saejniedamme	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 16	
stoerre	omfattende	omfattande		Mannasine dïhte dåaroe dan stoerre sjidti?	Hvorfor ble krigen så omfattende?	adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 16	
vuartadihks	forventingsfull	förväntansfull		Vuartadihks noere baernieh.	Forventningsfulle unge gutter.	adverb		Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
dåaroe-ministere	krigsminister	krigsminister				sammensatt substantiv av dåaroe + ministere	dåaroe-ministere, dåaroe-ministerasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
bæjhkoehtidh	verve seg frivillig	anmäla sig som frivillig		Dïhte stilli noere baernieh edtjin bæjhkoehtidh.	Han oppfordret unge menn å verve seg frivillig.	verb	bæjhkoehtidh, bæjhkohte, bæjhkoehti, bæjhkoehtamme	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
tjirkedh	sikre 	säkra		Dah sijhtin raeffiem tjirkedh jïh earoem vitnedh.	De ville sikre freden og vinne ære.	verb	tjirkedh, tjærka, tjirki, tjirkeme	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
dåaroegærhka-gaertene	krigskirkegård	krigskyrkogård				sammensatt substantiv av dåaroe + gærhka + gaertene	dåaroegærhka-gaertene, dåaroegærhka-gaertenasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
skomhkelekrogke-dåaroe	skyttergravskrigen	skyttegravskrig				sammensatt substantiv av skomhkele av skomhkelidh + krogke + dåaroe	skomhkelekrogke-dåaroe, skomhkelekrogke-dåarose	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
skomhkele-krogke	skyttergrav 	skyttegrav 				sammensatt substantiv av skomhkele + krogke	skomhkele-krogke, skomhkele-krogkese	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
jillie-raedtie	vestfront	västfront				sammensatt substantiv av jillie + raedtie	jillie-raedtie, jillie-raadtan	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
bielie	part	part		Akte bielie sjæjsjali håasodh.	En av partenen bestemte seg for å angripe.	substantiv	bielie, bealan	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
laarehtidh	storme	storma		Dillie dåarohkh gerteli vööste laarehtin.	Da stormet soldater fram mot fienden.	verb	laarehtidh, laarehte, laarehti, laarehtamme	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
laarije	angriper	angripare				substantiv av laaredh	laarije, laarijasse	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
ingenmannslaante	ingenmannsland	ingenmansland				substantiv	ingenmannslaante, ingenmannslaantese	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 18	
fåantoe lea	det henger sammen med	det hänger i hop med	fåanta lea	Fåantoe lea dïhte vaeknie-evtiedimmie.	Det henger sammen med våpenutviklingen.	frase		Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
vaeknie-evtiedimmie	våpenutvikling	vapenutveckling				sammensatt substantiv av vaeknie + evtiedimmie	vaeknie-evtiedimmie, vaeknie-evtiedæmman	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
vaarjelimmie-vaeknie	forsvarsvåpen	försvarsvapen				sammensatt substantiv av vaarjelimmie av vaarjelidh+ vaeknie	vaarjelimmie-vaeknie, vaarjelimmie-vaaknan	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
laareme-vaeknie	angrepsvåpen	angreppsvapen				sammensatt substantiv av laareme av laaredh + vaeknie	laareme-vaeknie, laareme-vaaknan	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
maskijne-steavke	maskingevær	maskingevär	bïrse, bïrsje, byrse, bånhtsoe, bånhtsa, joekse, röövre, reevre, lunte, lorhke, stïevhke, staavke + steavke			sammensatt substantiv av maskijne + steavke	maskijne-steavke, maskijne-steavkese	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
dåavhla-steavke	mitraljøse	mitraljös	bïrse, bïrsje, byrse, bånhtsoe, bånhtsa, joekse, röövre, reevre, lunte, lorhke, stïevhke, staavke + steavke			sammensatt substantiv av dåavla + steavke	dåavhla-steavke, dåavhla-steavkese	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
baahtsedidh	skyte en rask serie	skjuta en rask serie	baahtjedidh	Meehti baahtsedidh.	Man kunne skyte raske serier med skudd.	verb	baahtsedidh, baahtsede, baahtsedi, baahtsedamme	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
guhkies nöödtedh	ha lang rekkevidde	ha lång räckvidd		Skuehtieh mah guhkies nöödtin.	Skudd som hadde lang rekkevidde.	frase		Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
vihkeles	avgjørende	avgörande		Dah idtjin dåarose naan vihkeles sjïdth.	De fikk ikke noen avgjørende betydning.	adverb		Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 19	
dåårehtalledh	å holde krigen i gang	för att hålla kriget igång		Ihke dåaroehtalledh jïjnjebh dåarohkh daarpesjin.	For å holde krigen i gang trengtes flere soldater.	verb av dåarodh	dåaroehtalledh, dåaroehtalla, dåaroehtalli, dåaroehtalleme	Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 20	
evtiebasse	i lengden	i längden	övtiebasse	Evtiebasse dïhte ektiedimmie  bööremes vierhieh utni.	I lengden var det de allierte som hadde flest ressurser.	adverb av jåarhke		Elgå ref. gruppe	Til godkjenning		Historie 9	Den første moderne krigen	Side 20	
